,class,tweet
219,1,bitch care play role
220,1,It took find I hide In lime tree di bitch da wrong tree bro
221,0,drake new shoe releas nike jordan ye glitter shoe dude fag
222,2,inna di ghetto alon lmaoo
223,2,hoe austin teach us austin I teach u get curv I know
224,1,bitch cook know suck dick one
225,1,fat hoe get chose lol
226,1,hoesaintloy well hoe one expect loyal
227,1,ol bitch ass
228,1,bruh im tire nigga retweetin miley cyru nake bitch aint type bad lmaooo
229,1,toni romo mav game dont mean still bitch lmao fuk cowgirl lol bitch fuck
230,1,holi shit freddi highmor charli chocol factori Me roll floor laugh
231,1,I want sex gf I feel like I use anonym whata faggot
232,1,one follow somebodi bitch
233,1,If ya bitch alway bitch clearli care Or annoy bitch
234,1,catfish hoe thinkin slick nigga catch
235,1,worri bitch worri bout real
236,1,side hoe insecur nigga handl real one
237,1,RT lmao thi bitch come scoot tent like fuck shit
238,1,My cousin said share hoe brother He said share care love brother
239,1,hungri ionn wanna spend money food broke hoe problem
240,1,dese hoe lyin us nigga
241,1,oh yeah fuck bitch
242,2,eli man threw nfl lead 27th intercept season lmao trash
243,2,usc senior RB anthoni brown call head coach steve sarkisian racist quit team bitch
244,1,guess I also zero time mansplain adio stfu pussi
245,2,chill sexi scalli lad
246,1,I share bitch mine mine
247,1,money impress simpl broke bitch
248,1,pisc never anybodi bitch let peopl control chang rigghhht
250,2,tuku ho idk blah blah blah
251,2,I mad cuh hahaha suur tuku ho ita
252,1,hoe crazi
253,1,ever gonna slice bitch kevin hart
254,1,oomf fuckin fine tho dam bitch
255,1,I wonder girl gave head 24 boy drink magaluf twitter probli send nude fag
256,1,newsatquest yeah bitch yeah bitch call mayb b steve O c later jess pinkman
257,1,hicki thigh right pussi gt gt gt right
258,1,would still love I longer young beauti No ugli monkey ass
259,1,come front bitch I come
260,1,faggot bitch
261,1,yea I ipad I work friday let ball faggot work 2 5
262,2,scalli lad would get
263,0,gerryshalloweenparti halloween yesterday stupid nigger
264,1,chru still supahot tho walk teacher test drop test bitch fohead
265,1,I love eat pussi lol I never get full lol I eat shit forev lol ever
266,1,No slush hoe nasti anyway fam hoe tast like med
267,1,No slush hoe nasti anyway fam
268,1,bobbi bitch get live fuck hell yea play hoe workout
269,1,Yo bitch gucci mane My bitch stoner
270,1,I ride bitch handl bar
271,1,hoe get traphoussseeee
272,2,15 sad TV charact death still bitter stark man
273,1,harbor bitch parti bu hoe lol
274,1,pussi love
275,1,ultraviol video come littl bitch mtvhottest lana del rey bitchi promo
276,1,On way fuck bitch lmfao kittycopt
277,2,A smuggler explain help fighter along jihadi highway
278,1,aww avi look cute togeth I gotta get ike avi bitch
279,1,simpl dont hoe dont worri expos fight
280,1,whi bitch boost size exactli healthi tho
281,1,bet bitch kim bye
283,1,damn near gotta protect tweet stalker annoy got dope dick drive bitch loco
284,1,I make marack girlfriend aye b pullin hoe like taught
285,1,bruno fag boy love
286,1,I must bitch sike naw thi alway beef
287,2,6 1 yanke look ralli bottom 9th rallycap
288,1,take advantag nice person hoe everyjuan
289,1,happi birthday bitch nigga thank pal
290,1,sad know hoe fuck bc got stack wait till friday
291,1,cinco shit harder fucc nigga yee fucc wit rich homi cuz dat ya homeboy fucc nicca
292,1,ewww I said last sunday last sunday I read nig
293,1,I punch real nigga face caus pussi nigga gonna punch right back strong mush shake
294,1,My pussi still fresh lt someth stank girl say
295,1,ass slap one greatest thing haha I slap girl ass got mad I aint get pussi week
296,1,yeah texan much better fuck retard I see mad
297,1,Nd wtf dark bitch blond pleas sever seat hoe look like blackamp mild
298,1,lane bitch need stay left n get right fuck outta face
299,1,I hate boy deni bitch smh
300,1,Ya nig still say eat butt A straight face
301,1,Im boss ass bitch need sit corner
302,1,He hoe I
304,1,Me paul thinkin bout gettin rental Da weekend oooh shit bitch betta stay da street
305,1,bitch hold nigga get lock nigga go colleg militari differ stori
306,1,friend hate ratchet hoe
307,1,No love fuck nigga hoe
308,1,hot meat sexi fuck scalli lad I would love meet trainer
309,1,sniff perv scalli lad fuck yeah
310,1,bitch love sosa
311,1,I legit watch 30 40 second SO I wtf prob caus retard smh
312,1,I name cat idea Mr pussi
313,1,woof woof sexi thug boy scalli
314,1,u see damn phone ring marri bitch make demand call
315,1,tevin favorit sophomor I think funni realli lmaoo littl hoe
316,1,10 sex posit u call fuck soul outta bitch
317,0,bore suppos cute faggot sometim
318,2,one man trash anoth man treasur
319,1,I got type bad bitch thing I like iongotnotyp
320,0,lassen cc coach want feel youll get nig doubt
321,1,god teeth gold chain white bitch cocain
322,1,hoe hoe shhhhh
323,1,In D C call roller chiraq call thot across america known hoe
324,1,I gonna miss bitch bu driver lie
325,1,hate bitch tri put friendzon bitch I tryin score put endzon ON MY soul
326,2,ashley young tri deni bird land mouth gt hahaha
327,1,yall gimp tht bitch huh lol
328,2,take ride woof woof
329,1,oh god I love victoria mitchel bitch love
330,1,long distanc shit wack I knew bitch cheat uh oh
331,1,HE S IT right bitch smh
332,1,ban dat pussi life amp gotta pay 2 5 millon dollar fine
333,1,rose red violet blue nigger black know true
334,2,sit window sill window open bird tri fli smack protecttheanim
335,1,nigga gon nigga nigga sound fuckin retard
336,2,video entir media like mock crybabi
337,1,I even shi stfu kiki mom Hi angeliqu angeliqu smile dip cracker soup
338,1,tim tebow got cut everi team nfl alreadi got hoe starkvil smh
339,1,karma bitch damn godprotectshisangel sip tea
340,1,fuckin hot gym pussi fuck yeah
341,2,jihadi patron hajjaj al ajmi arrest kuwait airport
342,1,call fireman caus I turn hoe
343,1,I could never bbi lil dick tht I got abort last bitch oh My god
344,1,watch women tri argu like dick actual fuck pussi I hate bitch
345,1,smoke weed public fuck cop man wanna run come retard
346,2,tweeti bird tho
347,1,pussi sweet like watermelon thotermelon
348,2,twitter rapper dm trash link
349,1,loud bitch annoy
350,1,eventu everi bitch turn hoe truuu
351,1,I swear oomf tri talk tomorrow pussi
352,1,bitch pretend TF crazi never lie
353,1,k bye hoe um bye
354,0,jacki retard blondeproblem At least I make grill chees
355,1,ima keep give pussi ass nigga ah reason hate
356,2,photo sole heaven
357,0,stacey dash baddest bitch evaaaa
358,1,side bitch sunday
359,1,fact baldhead bitch made shit lmao
360,1,fuck wit us tweakin hoe shmurda
361,2,We actin like 7th day spook
362,1,I break lil bitch neck even feel sorri savag
363,1,thi fuck hot scalli sneakersex sockfetish sniff trainersex love kinki scalli
364,1,Y dumb ass nigga press hoe Y weak fuck fuck weed hoe oreo
365,1,I turn yo bitch eaterrrrrrrrr
366,1,I trust dese hoe nikki told 51st I stay fan screen shot asap finna come chiraq shoot sumn
367,1,aye yall ima tryout bowl team frfr tryout pass tho two retard
368,1,u got u want bitch enjoy crazi parti I would love attend
369,2,color contact eye blinder mine caus see lmao
370,1,fact onli dude hoe say got hoe
371,1,I rea start smack bitch period bluffin best
372,1,life bitch die get high caus neva know gonna go sister perfect
373,1,one us drug still wrong hahahahahahah im bitch sometim
374,1,I feel pretti fuckin ghetto smh
375,2,swear I 1 man easili easili behind austin nip
376,1,thi true ride die bitch fuck hahahahah
377,2,H G well charli chaplin histori photographi
378,1,I see bruno bitch ass twitter wtf bruno see drake voic
379,1,I cool faggot chill tf cool nigga
380,1,I sure bitch frfr tf
381,1,twitter sourc news broadcast fuck retard nbc abc cnn fox etc keep quiet
382,1,got coupl bitch say know I let money talk I M like wwyd
383,1,grudg weirdo bitch
384,2,I told mariam cigarett birthday also call trash rn
385,2,browni tonight kind
386,1,No text back I give fuck I text anoth bitch damn someon hurt lol
387,1,ummmmmm okay got hoe left right yah thang
388,1,use mx b find slope ass
389,2,fit lad nice gear scalli lad n trainer would get
390,1,hell yeah bro fuck yeah sexi scalli lad hot gear
391,1,help mate I love scalli play fuck yeah
392,1,lad lad fuck yeah I love scalli lad action hot trainer
393,1,next year bitch gonna like gotta promis expos
394,1,So hot lick bitch fuck yeah eat trainer u dirti fucker
395,1,Y think celebr pussi differ local yeah meghan good
396,2,I saw ajumma walk begin say wow trash I even listen lmaoo
397,1,need sox fuck yeah I love kinki scalli lad w rank sox sneak
398,1,I ever expos femal like childish bitch nigga shiiii
399,1,yasss tri new thing bestfriend bitch love
400,2,dude rememb wop video omg find
401,1,thick raw fuck damn man pussi get workout
402,2,rawr My sexi french scalli I love frenchscal sexi scalli woof woof
403,1,nothin life free bitch need write ya panti
404,1,one bitch want burrito u catch potosino huh haha
405,1,nigga whole hoe cuz said better
406,1,hardcor way eat mac chees 1 boil water 2 snort chees powder 3 drink boil water 4 fuck bitch
407,1,yourenotmytyp fade perpetu fresher real ass bitch rite
408,1,annoy bitch I love judyann S SO pretti
409,1,lmao bitch got huggi
411,1,Hi bitch No bitch bye bitch
412,1,look like bitch
413,1,chase money hoe
414,1,stand I know I want ass nigga bitch
415,1,I way love chav hot sexi scalli fucker
416,1,newli gay bitch kno shit work
417,1,bitch want real job becom stripper lol lol
418,1,awww meat meat In hi feelin ainn n feel bitch
419,1,I want snake bite MY industri piercin amp A tattoo dem hoe accessori dea
420,2,babi albino
421,1,hoe loyal
422,1,yassssss order chines bitch ate taco fat fuck
423,1,I made bitch lunch bitch love lunch
424,1,A NO brainer soon bitch get rich polit power view chang polit whore
425,1,A pussi day keep devil away
426,1,bitch mean
427,1,bitch want babi I want children
428,1,bitch must lost
429,1,babi I like left side bitch cuz street side twitter said I real
430,2,bae sound like ghetto word use someth els
431,1,batter wee cunt jewi co fuck ex emma isnt batter girl I nail ive move stop pussi n urself
432,1,bleed hoe alexa
433,1,boolin bando wit bitch
434,2,browni browni I love movi
435,1,I need bad bitch hotter might realist shit partynextdoor ever said I feelin everyday
436,1,By way punch bitch
437,1,caesar home much bitch look like let start ape shit
438,2,chines maverick We commun comrad u know give imperialist yank birdi
439,1,dad say hi snapchat dad duce bitch
440,1,Do believ hoe fact loyal I disagre I believ fact loyalest bunch hoe
441,1,know ugli bitch know broke nigga
442,1,make make fall live nigga like meee bird 1amp 2 favorit song weeknd
443,0,worri nigga see worri nigga T see dat da nigga fuckin yo bitch
444,1,ever give pussi away keep tight alright
445,1,drop stack caus bitch I ON song call dope download mixtap
446,1,dumb bitch dumb thing
447,1,eat pussi like real nigga hungri
448,1,eff let go crippl
449,1,everyth look better bitch next
450,1,facto care hoe ass look like
451,1,everi bad bitch nigga tire fuck
452,1,foreign chick lie man bitch beauti
453,1,fresh nigga kno I need clean bitch kno I work cuz I wanna see team rich
454,1,fuck 5 0 I make rule suck dragon ball bitch call goku
455,2,gener ascii box nodej I see abil bring flappi bird node via ascii tube bird
456,1,get shit bitch fine bear
457,1,get ass back detroit ya fuckin wigger
458,1,girl I date okay I mad yo unless stab heart love hoe
460,1,DO know MY twitter password bitch pleas
461,1,seen show seen hoe If I hot would thick
462,1,He bitch hit hoe
463,1,He marri white woman lucki sum bitch uncl rucku
464,1,He wanna nigga I trinna save account omg imma funni ass bitch man real shit
465,1,great grandma hoe grandma hoe mom hoe hoe It long line hoe grandpa carl everyon
466,0,hey go look video man found kidnap girl ohio nigger shitmybosssay
467,1,hey pussi still
468,2,draft gung ho folk send afghanistan war zone show
469,1,hotter A bitch
470,1,u talk hoe bout bro n em whi talk hoe bout bro n em
471,1,crazi bitch hilari
473,1,I know shoe dirti fuck whatev bitch call like negro one first thing look shoe dog
474,2,I thrill billi hillbilli heart hahahahaha jesu murphi
475,1,I call bitch
476,1,I handl liquor bitch handl meeedd chief sosa
477,1,I chase dude I chase bitch edgar bautista
478,1,I love hoe babi It forev
479,1,I dont even need pictur tamar bitch beat everi pictur
480,1,I dont hoe
481,2,I found new way chug open mouth alot shitallysay
482,1,I fuck hate bitch much I wanna smack face tongu kiss
483,1,I got bitch set like jada picket queen latifah ride round niec bitch titi
484,1,I got sister told stop call women bitch
485,1,I guess night bitch die stewi nigga
486,1,I bitch bitch bitch eat halibut freshrhym jerksquad slowstir
487,1,I ladi love marri I still wanna bang sex bitch A troubadour probabl
488,1,I heard look candi man bitch
489,1,I hope get mad ladi I call bitch bitch bc I know name individu katt william
490,1,I got number 3 I bitch boy
491,1,I know shit eatin grin either fuck girl dream sold car We know faggot sell
492,1,I older men caus matur suppos fool us bitch
493,1,I prolli leav bitch cup hand yo hand hand
494,1,I said like tast like wolf pussi even know tast like
495,1,I taught eat pussi cut hair I taught eat pussi hair name movi
496,1,I use dress like cop Oh realli yeah right 9 11 mad pussi realli ye I never forget
497,1,I went jail flock amp came home wit strike went jail bitch came home dike
498,1,I fuck u u stand U dizzi bitch two uniqu amp separ phrase I overheard rel say I younger
499,1,I woke like thi bitch go back bed
500,1,I would rather call bitch sir manag
501,1,I beat pussi hard
502,2,I slit throat neck
503,1,I funki ass honkey shout tonight cabaret jt2020tour
504,1,I compar kfc pussi
505,1,I download new person order new face bitch I love goddamn axl rose yell sex robot
506,1,I feelin like malcolm middl bitch surround miss em
507,1,I gonna piss dimpl stop wast prayer trash team lol
508,1,I probabl main bitch chocol dip cinnamon appl
509,1,I sick shit man sit bitch ass I fed bro geno threw yet anoth pick smh
510,1,I sorri I fuck yo bitch realli dig nigga
511,1,ib irrit bitch syndrom
513,1,If love hide yo bitch keep shorti
514,1,If talk back get pussi Me
515,1,If bad bitch put hand high everi girl room start wave hand around
516,1,imma tie bitch basement donkey fuck ass two week straight hahahahahahahahaha 50centmovi beforeiselfdestruct
517,1,In My mind gotta dumb hoe anthem
518,2,Is albino mexican No dad asian
519,1,It take true direction accept larri know bitch fan like make boy cri thankyoupaulforconfirminglarri
520,1,It alleg u bedroom u see word naiv amp blind bitch We know ur husband cheat u ramona dumb
521,1,It never late tag bitch
522,1,It dyke hunter dyke dyke
523,1,julia robert ho nottinghil
524,2,follow yellow brick twitter
525,1,lmfaoooooooooooooooooo If pussi good mama like guess gotta go mama
526,2,lol crippl wendi davi scientist creat remot control chick studi shi penguin
527,1,let nip ahoy spank mayb
528,0,let kill cracker babi wtf I hear wow
529,1,like correct I wrong pimpin involv smackin bitch money
530,1,lmao pound cake look like pussi
531,1,lmao rose adida lighter phone shit retard
532,2,mam ren e doet haar rol net ze ongesteld wat ongesteld van dat soort vragen waar je denkt hoe leg ik die weer uit
533,1,mayb want friend mayb stupid bitch never know make cum
534,2,mine play dmx kirk franklin smh well neighbor ghetto get like 5am beat kid
535,0,My grandma use call porch monkey time come think refer broken bottl nigger knife
536,1,My momma told tell mind yoooo damn motha fuckin busi 2 2 knowin bitch
537,1,My nip freeeeez okay slice bra
538,1,My twitter hack I pussi admit I said I want act like I never said
539,1,nah girl I gon abl make tight sinc russ loss job back like damn bitch realli
540,0,nah yo thought some1 photoshop face faggot smmfh hate yall
541,1,new flame song yr lol bitch super run like
542,1,nigga alway yell fuck bitch get money meanwhil broke still want bitch
543,1,nigga press pussi eeeeeen nothin
544,1,No bitch nan
545,1,No boat hoe pleas thank mom
546,2,ovo amp kendrick lamar still trash
547,1,On top pregnant ass sorri hoe aint never got money even water broke riptallt
548,2,onli coupl red sox gotten past first base I die laugh mayb yank need teach game
549,0,peopl time aryan race 2 stand say befor mongerl turn world ghetto slum 1488
550,1,pistol whip dickau shoot yo bitch club sometim freestyl freestyl I okay
551,1,RT pleas thank pierc pussi come across timelin
552,1,remi machiavelli send shot ya belli bitch
553,1,roberto one nasti hoe
554,1,sorri JB fan realli justin come back top comment justin timberlak video 10 million view son fuck bitch
555,1,search incred stori 1 white man quest find ingredi necessari make caribbean jerk chicken redneck land
556,1,sell soul materi wish fast car bitch tupac smile remix
557,1,shake bear aka two redneck sex dead bear
558,1,shall I compar thee summer day No summer day bitch
559,1,gotta shape pussi lip tho whole wheat organ pussi
560,1,said wigga man rich take du rag
561,1,bitch anyway
562,1,florida got sniff test swamp pussi
563,1,slow fuck bitch I know live classi young ladi
564,1,So good footbal player still act like nig
565,1,stop pussi son shove needl heart afterearth
566,1,stop look us go eat pussi yuppi fuck
567,1,takin straight dirt finger pussi I know I put dick
568,1,bro move hoe move
569,1,girl plain look borderlin ugli amp chunki hey least got nice smile amp great person
570,2,devil grow insid heart selfish wick white brown yellow black color restrict
571,2,water yellow I healthi student
572,1,hoe loyal
573,1,hoe keep callin I pickin
574,0,sour appl bitter bitch I fuckin wit em
575,1,faggot oriol petti fuck got swept outta bitch
576,1,ghetto ass band get snuck
577,2,divis trash saint gon win nfc south watch
578,1,thi fan wait bitch nigga hate old hoe date look mama
579,1,thi ghetto motherfuck missi elliott
580,2,thi recip call leftov browni hell leftov browni browni eaten yet
581,1,ratchet broad repres white ass talk trash caus racist shit black
582,1,trust noneee bitch I
583,1,twitter twitter bitch twitter life
584,2,two road diverg yellow wood I chose one J tunheimr robert frost giant
585,1,U got 200k bitch nigga Al haymon antonio tarver
586,1,Uh uh empti heart empti bottl yellow cab would like catch cuz yo latest ex made u mad
587,1,use girlfriend I got hoe I lookin good girl fuckin low
588,1,virgin pussi regular pussi oomf pussi
589,1,whaaaaaat lmaooo I luv u fat bitch cuz got big ole titti phat booti
590,1,walk bitch like nigga WE made IT
591,0,We hate nigger hate faggot hate spic kkk ralli
592,0,We queer 2 4 6 hut We like butt
594,1,well bitch biolog said
595,1,I gotta report spam ladiesif head game better pussi
596,1,im done hoe pass squad G
597,0,fuck callin jiggaboo nigga
598,0,whi peopl think gay marriag okay beyond sorri I want futur son see 2 fag walk street hold hand
599,1,whi u littl bitch chri six bitch allison mom
600,1,whi would I want play pussi dead snl
601,1,whi would wanna green ranger He evil duh bitch
602,1,whi would want pussi side burn good question hahahahaha
603,1,shank bitch cevich
604,1,work get rough day hahaha hoe
605,1,wow bitch ye alreadi establish anyth els say
606,1,Y forget brand new babi girl home bitch cooki burn
607,2,yah said word mtzra ym egyptian peopl ysrah al inherit kushit ethiopian
608,2,yaoooooooo mawnin yardi
609,1,Yo bitch horn tryna shoot porn T shirt worthi toni
610,1,Yo I sublet pussi shitfahdsay
611,1,Yo feet smell like puss whut like flower bitch omg
612,1,Yo mama bitch one sentenc end relationship
613,0,gunna shit spear chucker
614,1,bitch favorit respons long text
615,1,yo boy pussi cat
616,1,cunt
617,1,pull pussi dodg collect panti alright stormi jake
618,1,take someon ghetto take ghetto
619,1,like us color folk color white fuck
620,1,got hella hoe
621,2,hit light line toco bell 2 morn diana back hous It miracl charli
